N,alpha,beta,gamma
3.6190255637891853,1.0559241516782762,1.8724642856356226,2.098499104619215
3.7936905725299472,1.084404970237529,1.9375902312459456,2.07514923640238
2.8181878612385423,0.9727068276388215,1.7484964478028555,2.0866374991064984
1.807562733930197,0.7571653684460178,1.5256253087871832,2.1360527795863984
1.8292652214177907,0.7811210923539483,1.5305945197772284,2.1240929840381497
4.474737753121595,1.1429807682258062,2.047397003086256,2.054420916939196
4.1113114698506585,1.1200217729697899,1.9260089806914629,2.085364591464101
2.9658838523418134,0.9927661507231007,1.7179840004799303,2.123521190992248
2.4437114598586205,0.8695431693965967,1.734674568752876,2.0968783976028886
2.3306226464865345,0.8783897903933957,1.5939724612671506,2.13443263096052
3.188655137597706,1.0005694425967007,1.8263499151783182,2.1021493936132964
3.688980840494549,1.0654342614976562,1.9345517183614709,2.0763163711066137
3.9840629351980796,1.125125657492739,1.8792696022830282,2.1040021337067825
5.510780462809057,1.2936163056180825,2.057466712819061,2.073880068207994
5.082269165850915,1.2171334063109527,2.0622191196952087,2.065839729804118
4.760269421283928,1.2131985793774407,1.9834026724093892,2.0763559715180215
2.095616939779536,0.778704993905977,1.6568594209963543,2.1157993464078015
2.7538249405989137,0.9235892394203321,1.7323402848131784,2.1161203251840734
4.988611231772091,1.237315605153863,1.9749738154875929,2.0896520881099323
3.0018089361488647,0.9705799540625919,1.806419147169982,2.1019018633701574
1.624746019320661,0.6686167132034839,1.4885969440442213,2.15457591233585
2.6258934194504495,0.9331901641037096,1.6869726791096469,2.1195339557488797
2.489621323444651,0.9226351159803056,1.6664859171069322,2.1115023359477
2.4019912026886994,0.8738754878574932,1.675822602663623,2.11648487711664
3.2661227583886494,1.0417423800805787,1.7832122655246947,2.1035903456869107
3.822591371098724,1.0897222740777883,1.8987780587558238,2.090874390469117
3.6528702886432085,1.0769471315773576,1.8818258185271486,2.090796267741092
2.583435025940459,0.893113525850037,1.7319883899141997,2.1084188328038493
2.565427022084371,0.9095836011467379,1.7185971092615182,2.1070357552524004
3.11230180430272,1.0204440780756452,1.7576255481990266,2.1163288023628586
4.662243659536494,1.2044042189675823,1.977375412446498,2.0779199590681436
4.544090355648229,1.1723927094741085,1.9651666687354297,2.086823262896009
2.3277585282554587,0.8515232416445502,1.6391502408123118,2.1300244975811626
2.928314826708358,0.9868355530260196,1.7857783801276037,2.0874003742860623
4.052983240952126,1.1011110451841208,1.924165550448962,2.093610046594073
2.220493679467032,0.8445201141065927,1.6383780577252758,2.120018322794907
3.0743141165957977,0.9980569404896926,1.8221558057874827,2.088528372724849
4.108526461612296,1.1691522415927946,1.8424689824982445,2.0997414443993705
2.5289971611355684,0.9055749794102016,1.6362947658541875,2.141235112426613
3.7044974194131615,1.0683673122900228,1.86511110305532,2.092849161484628
3.429130505649818,1.0620761022881213,1.8030772487087214,2.108654604305677
3.2095066091971822,1.0001055493017534,1.840467412600511,2.0927028327997506
3.9132172264929377,1.1083839695422757,1.9489455720350777,2.076040344810123
2.271972999994549,0.818694332603713,1.7194396603632773,2.0918754790248575
2.497612786440057,0.9083947594356008,1.6297776834365136,2.1367019573974786
2.3049341117415296,0.8354796199797695,1.6936059870331246,2.103161937962691
3.2569843786931276,1.0470238679447832,1.7835487203606488,2.1020155287660454
3.2253697913850767,1.0028597451025745,1.9061780106710817,2.072291726972645
3.1712665513815055,1.0206069279222665,1.7724432452727485,2.1027298881152343
