"N","alpha","beta","gamma"
1.6044464626475938,0.7305127279736755,1.362650287953615,2.1932137639977687
5.991799763381435,1.291745989211085,2.177402791845702,2.050223464611952
3.1095616650835365,1.0148118167350875,1.7914243587751142,2.099542961360746
7.003831987562139,1.3613649164173975,2.302774271208109,2.0234536095671083
1.9461215009649027,0.8137147445472906,1.4451514402296708,2.1786896972583265
3.3226843912442763,1.0187982011753716,1.8580544151870246,2.085984100183515
1.8599453945219655,0.7848126104321749,1.4642427617396039,2.164989463447076
2.089243068826587,0.8212211353217241,1.5215628539718287,2.1636646474202004
3.0580014553555563,0.9861627164411568,1.7668673248160964,2.114733197018349
2.782452261861511,0.9730205121607036,1.7318016492190589,2.097847547833288
1.799812479241963,0.7769883179895026,1.4196341662278764,2.1799715759976825
2.3231665785754374,0.8780195022279055,1.5734409873380633,2.1641424997423493
3.3194479757341457,1.045198142773605,1.7776776921151185,2.108187233640902
2.31225046266227,0.850035422900703,1.6827417687917658,2.111923822946771
2.699857085913046,0.9651827277342541,1.642841347029718,2.132227672865493
2.439055573037709,0.8911334324218361,1.661496541011136,2.1291576013545064
5.555451402175666,1.3134263480438708,1.993013867744305,2.098917029976953
3.4767641360290873,1.0881748024561575,1.7355084089641468,2.1314863151514025
3.496287500664589,1.052696047189021,1.8850699271562164,2.0908236265979236
2.7548497874959583,0.9382670328266055,1.7178638556666017,2.1108205235719146
1.5535368022107339,0.683974790906136,1.3904824621382577,2.1751545167378215
2.3568987864082818,0.8735598076378551,1.6251556011176167,2.1345017546662373
1.2839775708791203,0.5825770791402777,1.3460584375581455,2.1846457143041476
1.9066469142905824,0.7731200484399402,1.5278795346069487,2.154080170131038
2.5898060473130204,0.9238449152153686,1.6984826608151713,2.1185418828790463
3.233187800660843,1.03295844749578,1.8042869474260639,2.1008644571622868
2.269432019381062,0.8698176417796821,1.6161619582038704,2.1303574948742714
4.720179324530715,1.1950157017493968,2.0367637828212923,2.0687573199591784
3.028453217778715,0.9944732131922986,1.75936519929909,2.1062793122525147
3.6113732519231188,1.1141711973319213,1.7715275362770952,2.1204868669487644
2.176133599552419,0.8732969570422421,1.5499189415996175,2.1445076718101115
5.2680816803021076,1.2494947822322324,2.0449577122369256,2.0819553173648564
2.4781848253379364,0.8958419161971809,1.6682467132460799,2.1275363806176784
1.6329939706695156,0.724903105385904,1.3866840772678095,2.181711554298213
4.797909199071927,1.214538898477044,1.9486494462640889,2.0915726039183813
3.145491772464936,1.049742718550077,1.6930500596629552,2.1235881552045477
2.867202893294391,0.9636921694357207,1.6705239187916376,2.1446966107424084
1.5973579716407966,0.6956904208069519,1.4120109124653175,2.184792059102573
1.9539262165565279,0.8065392868619703,1.5097213741619349,2.1611005698012193
2.4984900597856137,0.9269116258596498,1.6214034547068277,2.1336580551757085
2.799859167871478,0.956769980901913,1.73809365061156,2.1054600233698912
1.557449986176266,0.7205582826326007,1.3490526142737909,2.1953826707100044
1.692114812126055,0.782348997593282,1.3344419467729647,2.2014607288903565
4.015296355417322,1.1049663965798924,1.9804620696352055,2.0790405830248817
1.1452516489293454,0.5584741787440989,1.260394963435087,2.1934850614592145
2.1539116905811033,0.8591898939912028,1.5234333709867534,2.175985336521609
2.4619638287936794,0.9350152533941164,1.5372510429500765,2.1758147322680097
2.1693486758274094,0.8302515559218926,1.589746502624327,2.1355925790802397
4.578520213719608,1.2061900786881499,1.9104076643293197,2.112334534725986
4.7924499452776015,1.2165244144427927,2.0289000442519156,2.0642922039275016
1.9801300735277425,0.7927350368348697,1.6062229351609656,2.114717162379235
5.734918538731072,1.2538203039453435,2.162714325887658,2.058460099917789
6.4639959388056525,1.3294650084676258,2.2238782879215524,2.045668924628633
2.67675146819653,0.9620934279933446,1.6489141650285122,2.1287526863952406
1.740779384027767,0.7423947645097343,1.463668137813557,2.1552451343188594
2.9966134175854733,1.0149884603963264,1.7363937496200947,2.116032031745027
2.9135528952440235,0.977644679050326,1.7766181210143208,2.0990249811050865
2.485487555409171,0.934453537263533,1.5767392712779214,2.157567516002632
1.9831467774860385,0.7903364404083428,1.6069411296476148,2.124157330960864
2.4926266211290518,0.8911648039838421,1.6879843542892963,2.112348907226097
2.1638712874072366,0.8378463188838589,1.5630480202041985,2.1347756244866893
2.888969562448448,0.9901963762595857,1.7286675075759679,2.1106697053341126
4.45708310524823,1.1673578997990894,1.949614390279314,2.0925157494163558
1.98998859087869,0.8098331763255416,1.5399242266990751,2.147703695280367
1.5680663431179855,0.7302600644299618,1.290878092921002,2.2224233282705153
